"","year","quarter","lms_carrier_name","mean.fare","median.fare","sd.fare","min.fare","max.fare","iqr.fare","q1.fare","q3.fare"
"1",2019,1,"Alaska Airlines, Inc.",207.626585365854,194.13,54.5278300783075,140.53,356.33,64.97,161.33,226.3
"2",2019,1,"Allegiant Air LLC ",111.128518518519,105.42,30.3090352932143,71.42,192.83,29.5925,89.735,119.3275
"3",2019,1,"American Airlines, Inc.",259.132678868552,251.87,68.8902543323682,113.67,917,81.39,214.51,295.9
"4",2019,1,"Delta Air Lines, Inc.",251.181739130435,243.39,66.5748825845472,67.33,587,78.7075,205.915,284.6225
"5",2019,1,"Frontier Airlines, Inc.",170.090833333333,168.165,32.0746896699601,113.36,234.22,19.88,155.325,175.205
"6",2019,1,"Jetblue Airways Corporation",198.105581395349,192.11,57.5231679280751,93.66,336.29,80.205,152.56,232.765
"7",2019,1,"Southwest Airlines",215.972025117739,210.29,47.0682446444662,101.35,405.22,69.93,181.06,250.99
"8",2019,1,"Spirit Airlines, Inc.",158.421,163.89,39.2117509172952,97.53,215.96,49.05,135.1025,184.1525
"9",2019,1,"United Air Lines, Inc.",257.333167259786,248.45,62.2246062858789,131.91,518.61,80.79,213.31,294.1
"10",2019,2,"Alaska Airlines, Inc.",210.602,200.17,63.659575499113,129.89,386.35,81.94,161.26,243.2
"11",2019,2,"Allegiant Air LLC ",106.252549019608,90.66,34.1335125554425,70.28,200.69,44.12,82.835,126.955
"12",2019,2,"American Airlines, Inc.",276.415415959253,270.42,69.2449213469998,128.8,760.5,90.73,227.45,318.18
"13",2019,2,"Delta Air Lines, Inc.",259.372025723473,253.74,61.8924154721722,136.1,510.4,87.14,211.765,298.905
"14",2019,2,"Frontier Airlines, Inc.",187.809285714286,194.565,52.019687022435,91.46,257.75,79.61,151.6875,231.2975
"15",2019,2,"Jetblue Airways Corporation",205.622467532468,199.26,61.8228120722066,98.5,401.23,70.62,166.33,236.95
"16",2019,2,"Southwest Airlines",230.550711043873,220.64,55.715719464104,102.35,422.14,81.43,188.57,270
"17",2019,2,"Spirit Airlines, Inc.",152.343333333333,142.95,37.0118596062823,104.28,228.72,43.78,128.13,171.91
"18",2019,2,"Sun Country Airlines",163.05,163.05,6.61851947190607,158.37,167.73,4.67999999999998,160.71,165.39
"19",2019,2,"United Air Lines, Inc.",255.177551724138,250.17,58.6051485675268,134.83,448.7,87.9675,209.92,297.8875
"20",2019,3,"Alaska Airlines, Inc.",216.461730769231,217.345,59.2048363724356,126.94,363.95,86.175,164.8675,251.0425
"21",2019,3,"Allegiant Air LLC ",108.752926829268,88.69,39.5734548810122,72.95,234.46,50.4,83.12,133.52
"22",2019,3,"American Airlines, Inc.",265.327762711864,262.345,66.9626006183562,109.18,652.8,88.4825,217.22,305.7025
"23",2019,3,"Delta Air Lines, Inc.",261.086582278481,257.93,69.297075050137,127.86,583.5,98.5925,207.7825,306.375
"24",2019,3,"Frontier Airlines, Inc.",168.171739130435,170.36,46.4291824034855,89.55,241.89,71.665,127.99,199.655
"25",2019,3,"Jetblue Airways Corporation",195.552592592593,178.35,53.3582041671611,102.53,331.06,79.6,158.05,237.65
"26",2019,3,"Southwest Airlines",226.152523219814,218.18,55.5025982070391,100.49,410.73,78.5525,184.8975,263.45
"27",2019,3,"Spirit Airlines, Inc.",157.206875,140.68,70.4968781075919,93.99,383,56.4125,114.5925,171.005
"28",2019,3,"Sun Country Airlines",147.515,147.515,14.347196590275,137.37,157.66,10.145,142.4425,152.5875
"29",2019,3,"United Air Lines, Inc.",250.333816254417,242.43,61.3105686826755,125.48,503.29,89.02,202.955,291.975
"30",2019,4,"Alaska Airlines, Inc.",206.072222222222,200.87,54.2678931683442,119.29,335.89,73.0025,163.1775,236.18
"31",2019,4,"Allegiant Air LLC ",120.215365853659,105.65,55.908193992364,69.27,410,33.75,90.12,123.87
"32",2019,4,"American Airlines, Inc.",264.313558484349,257.58,68.7738212161868,117,815.44,88.815,217.54,306.355
"33",2019,4,"Delta Air Lines, Inc.",262.889803278689,254.22,69.6295974384088,141.76,540.88,96.79,208.13,304.92
"34",2019,4,"Frontier Airlines, Inc.",172.477692307692,167.96,49.4720086098941,109.85,261.41,62.08,132.9,194.98
"35",2019,4,"Jetblue Airways Corporation",218.062658227848,207.83,69.4223842514136,104.12,519.99,87.745,168.325,256.07
