"","year","quarter","lms_carrier_name","mean.marketshare","median.marketshare","sd.marketshare","min.marketshare","max.marketshare","iqr.marketshare","q1.marketshare","q3.marketshare"
"1",2019,1,"Alaska Airlines, Inc.",0.591975609756098,0.5573,0.166709264560323,0.2295,1,0.1688,0.4988,0.6676
"2",2019,1,"Allegiant Air LLC ",0.904424074074074,1,0.212732645510997,0.3049,1,0,1,1
"3",2019,1,"American Airlines, Inc.",0.700129950083195,0.6928,0.213722926788005,0.2545,1,0.4023,0.52,0.9223
"4",2019,1,"Delta Air Lines, Inc.",0.640601811594203,0.6026,0.193302300499824,0.2778,1,0.2843,0.497925,0.782225
"5",2019,1,"Frontier Airlines, Inc.",0.478141666666667,0.413,0.160225321221728,0.3018,0.8353,0.191075,0.37885,0.569925
"6",2019,1,"Jetblue Airways Corporation",0.686360465116279,0.66485,0.19489551606774,0.3206,1,0.316175,0.531,0.847175
"7",2019,1,"Southwest Airlines",0.753448037676609,0.7831,0.201572088990074,0.2924,1,0.3762,0.5798,0.956
"8",2019,1,"Spirit Airlines, Inc.",0.55985,0.5,0.203281470161722,0.3262,1,0.127225,0.468825,0.59605
"9",2019,1,"United Air Lines, Inc.",0.69801103202847,0.7007,0.20324895743715,0.2686,1,0.3521,0.5296,0.8817
"10",2019,2,"Alaska Airlines, Inc.",0.588906666666667,0.5714,0.177070239530173,0.2721,0.9692,0.1934,0.4848,0.6782
"11",2019,2,"Allegiant Air LLC ",0.878203921568627,1,0.212612961938622,0.3194,1,0.1275,0.8725,1
"12",2019,2,"American Airlines, Inc.",0.697380814940577,0.6697,0.216134002168128,0.2616,1,0.3928,0.5235,0.9163
"13",2019,2,"Delta Air Lines, Inc.",0.639504180064309,0.6037,0.186451911681182,0.2236,1,0.2663,0.50465,0.77095
"14",2019,2,"Frontier Airlines, Inc.",0.487378571428571,0.4516,0.192320322453378,0.3101,0.9824,0.218425,0.332675,0.5511
"15",2019,2,"Jetblue Airways Corporation",0.674179220779221,0.6406,0.186001509146157,0.3226,0.9704,0.3165,0.5217,0.8382
"16",2019,2,"Southwest Airlines",0.747680181543116,0.7646,0.204284379808899,0.3112,1,0.3777,0.5803,0.958
"17",2019,2,"Spirit Airlines, Inc.",0.606966666666667,0.6098,0.257767207637693,0.2983,1,0.4968,0.3593,0.8561
"18",2019,2,"Sun Country Airlines",0.503,0.503,0.141562777593547,0.4029,0.6031,0.1001,0.45295,0.55305
"19",2019,2,"United Air Lines, Inc.",0.68908724137931,0.6896,0.21170665873379,0.2818,1,0.380425,0.50055,0.880975
"20",2019,3,"Alaska Airlines, Inc.",0.604090384615385,0.5853,0.195988767444859,0.2962,0.9818,0.290675,0.44255,0.733225
"21",2019,3,"Allegiant Air LLC ",0.84880243902439,1,0.238933423245687,0.2581,1,0.4024,0.5976,1
"22",2019,3,"American Airlines, Inc.",0.695435593220339,0.68065,0.215834808919133,0.2564,1,0.4177,0.5,0.9177
"23",2019,3,"Delta Air Lines, Inc.",0.64740253164557,0.61655,0.190180262674734,0.2407,1,0.278875,0.50635,0.785225
"24",2019,3,"Frontier Airlines, Inc.",0.533826086956522,0.4534,0.212454607381503,0.3059,1,0.33735,0.36525,0.7026
