"","year","quarter","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"1",2019,1,1197.95847923962,1044,696.325788248769,148,2724,1103,643,1746
"2",2019,2,1193.50365319045,1023,697.164731870338,148,2724,1088,640,1728
"3",2019,3,1194.32341463415,1013,703.399086960868,148,2724,1117,633,1750
"4",2019,4,1190.51840942563,1023,699.952497882933,148,2724,1102,631,1733
"5",2020,1,1199.68331668332,1037,691.816773710493,148,2724,1083,652,1735
"6",2020,2,1261.17493036212,1105,673.882326279719,190,2724,1053.5,726,1779.5
"7",2020,3,1245.25253063399,1077,685.286260008112,190,2724,1120,677,1797
"8",2020,4,1232.50597826087,1064,682.2428944383,190,2724,1077,677,1754
"9",2021,1,1228.49506037322,1057,671.033647188632,190,2724,1033.5,701,1734.5
"10",2021,2,1205.19896640827,1044,680.578030982043,190,2724,1002,668,1670
"11",2021,3,1205.91392031481,1027,688.233679362959,190,2724,1082,659,1741
"12",2021,4,1196.68040712468,1034,693.119839319057,148,2724,1090,643,1733
"13",2022,1,1206.70260416667,1048,685.780799865974,190,2724,1083,663,1746
"14",2022,2,1177.3642384106,1002,689.069686541252,190,2724,1031.5,633,1664.5
"15",2022,3,1178.45472938796,1005,687.405667506297,190,2724,1030,640,1670
"16",2022,4,1188.86875965003,1023,688.276329412925,148,2724,1027.5,642.5,1670
"17",2023,1,1199.3055265902,1038.5,685.616041049281,190,2724,1084.5,655,1739.5
"18",2023,2,1173.6734059098,1005,680.994480515514,190,2724,1009,640,1649
"19",2023,3,1173.17831813577,998,690.784248861702,177,2724,1044,626,1670
"20",2023,4,1183.39228791774,1013,688.330768418202,190,2724,1030,640,1670
