"","year","quarter","statecode1","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"1",2019,1,"AL",912.961538461538,682,466.335285456225,459,1815,294,608,902
"2",2019,1,"AR",1237.71428571429,1187,225.680655444276,912,1494,307,1187,1494
"3",2019,1,"AZ",1189.37931034483,1020,579.164879915969,304,1999,1146,668,1814
"4",2019,1,"CA",1590.05533596838,1756,801.988875020058,262,2510,1601,742,2343
"5",2019,1,"CO",1310.51219512195,1506,446.264726476966,551,1810,847,862,1709
"6",2019,1,"CT",1813.33333333333,2527,947.916637885923,326,2625,1374.5,1152.5,2527
"7",2019,1,"DC",883,883,0,883,883,0,883,883
"8",2019,1,"FL",1338.10638297872,1139,687.130022028766,192,2724,1126,846,1972
"9",2019,1,"GA",973.421052631579,731,583.430471624926,406,2139,375,577,952
"10",2019,1,"IA",1172.35,1127,186.825072982019,910,1447,229.75,1071,1300.75
"11",2019,1,"ID",650.7,688,91.4112198316547,523,749,123.75,564.25,688
"12",2019,1,"IL",955.503816793893,801,506.916384761004,177,1855,705,621,1326
"13",2019,1,"IN",1175.5,930,570.398336169349,516,1943,1113,701,1814
"14",2019,1,"KY",689,699,133.663133785398,495,910,30,699,729
"15",2019,1,"LA",1273.07142857143,1218,400.299015984054,488,1911,226.5,1053,1279.5
"16",2019,1,"MA",1275.22527472527,1124,823.370682294816,209,2704,1201,563,1764
"17",2019,1,"ME",689,493,392,493,1277,196,493,689
"18",2019,1,"MI",1163.57777777778,1044,600.43822969292,409,2079,1334,540,1874
"19",2019,1,"MN",1178.5,1057,247.492890340775,936,1589,241.5,1057,1298.5
"20",2019,1,"MO",1143.33333333333,1148,227.309852911767,738,1499,357.5,1005.5,1363
"21",2019,1,"MT",1264,908,505.949404585083,878,1902,994,908,1902
"22",2019,1,"NC",977.5,599,738.819846753894,255,2400,653.25,492,1145.25
"23",2019,1,"ND",1161.33333333333,1165,58.6537864648708,1094,1225,98.25,1111.75,1210
"24",2019,1,"NE",1182.8,1113.5,184.126043785229,1025,1433,344.25,1028,1372.25
"25",2019,1,"NJ",977,977,NA,977,977,0,977,977
"26",2019,1,"NM",1145.70833333333,896,543.299299303053,328,1861,1040.75,677,1717.75
"27",2019,1,"NV",1368.6,2106,978.389126451547,192,2286,2036,246,2282
"28",2019,1,"NY",1271.94170403587,1077,889.750578072792,222,2619,1881,337,2218
"29",2019,1,"OH",1091.88235294118,932,641.346604838699,314,2187,1348,498,1846
"30",2019,1,"OK",1093.25,1180,173.5,833,1180,86.75,1093.25,1180
"31",2019,1,"OR",941.47619047619,751,609.095199377537,471,2358,207,569,776
