"","year","quarter","lms_carrier_name","mean.miles","median.miles","sd.miles","min.miles","max.miles","iqr.miles","q1.miles","q3.miles"
"1",2019,1,"Alaska Airlines, Inc.",1298.26829268293,978,811.363975796012,414,2724,1639,696,2335
"2",2019,1,"Allegiant Air LLC ",951.407407407407,940,301.769843481189,276,1788,393.5,729.5,1123
"3",2019,1,"American Airlines, Inc.",1201.98003327787,1041,733.975346725396,177,2724,1247,563,1810
"4",2019,1,"Delta Air Lines, Inc.",1160.27898550725,952,663.087537120144,209,2619,989.75,642.5,1632.25
"5",2019,1,"Frontier Airlines, Inc.",1376.75,1198.5,520.984579251807,551,2218,758.75,1023.75,1782.5
"6",2019,1,"Jetblue Airways Corporation",1394.90697674419,1139,800.912944199335,209,2704,1454.25,841.75,2296
"7",2019,1,"Southwest Airlines",1204.99843014129,1067,665.838008183812,148,2704,1021,677,1698
"8",2019,1,"Spirit Airlines, Inc.",1399.2,1337,643.101305308028,601,2174,1107.5,915.5,2023
"9",2019,1,"United Air Lines, Inc.",1167,998,711.27398779534,148,2636,1163,587,1750
"10",2019,2,"Alaska Airlines, Inc.",1265.51111111111,978,781.586196672052,372,2724,1320,696,2016
"11",2019,2,"Allegiant Air LLC ",884.21568627451,859,275.369520007243,276,1574,371,680.5,1051.5
"12",2019,2,"American Airlines, Inc.",1192.88794567063,1013,742.855268546644,177,2724,1240,575,1815
"13",2019,2,"Delta Air Lines, Inc.",1169.10932475884,967,659.368241828588,209,2700,965.5,656,1621.5
"14",2019,2,"Frontier Airlines, Inc.",1529.64285714286,1628.5,533.844201868047,601,2218,916,1079.25,1995.25
"15",2019,2,"Jetblue Airways Corporation",1340.1038961039,1139,793.531175131559,222,2704,1413,825,2238
"16",2019,2,"Southwest Airlines",1204.86989409985,1068,666.106439773264,148,2704,1021,677,1698
"17",2019,2,"Spirit Airlines, Inc.",1331.66666666667,1052.5,600.267415155087,601,2174,1050.75,860.25,1911
"18",2019,2,"Sun Country Airlines",1033,1033,128.693434175952,942,1124,91,987.5,1078.5
"19",2019,2,"United Air Lines, Inc.",1181.85862068966,1004.5,718.357380391883,148,2704,1149.25,584,1733.25
"20",2019,3,"Alaska Airlines, Inc.",1220.71153846154,871,751.702260012161,372,2724,1057.5,720,1777.5
"21",2019,3,"Allegiant Air LLC ",857.585365853659,819,279.498208903899,276,1574,376,668,1044
"22",2019,3,"American Airlines, Inc.",1198.07457627119,1003.5,749.472199931181,177,2724,1272.5,575,1847.5
"23",2019,3,"Delta Air Lines, Inc.",1227.93987341772,1025,682.979378381187,209,2700,1180.25,687,1867.25
"24",2019,3,"Frontier Airlines, Inc.",1401.65217391304,1242,612.096442838846,463,2510,1001.5,913.5,1915
"25",2019,3,"Jetblue Airways Corporation",1268.46913580247,1120,817.505872859941,192,2704,1628,590,2218
"26",2019,3,"Southwest Airlines",1199.53560371517,1057,669.012645946126,148,2704,1009,668.5,1677.5
"27",2019,3,"Spirit Airlines, Inc.",1341.25,1221.5,606.39838390286,399,2187,1050.75,860.25,1911
"28",2019,3,"Sun Country Airlines",1033,1033,128.693434175952,942,1124,91,987.5,1078.5
"29",2019,3,"United Air Lines, Inc.",1135.7667844523,946,705.254238670225,148,2704,1136.5,528,1664.5
"30",2019,4,"Alaska Airlines, Inc.",1157.90740740741,859,758.816886169877,192,2724,1000,659,1659
"31",2019,4,"Allegiant Air LLC ",884.048780487805,840,314.777854305184,276,1788,378,677,1055
"32",2019,4,"American Airlines, Inc.",1195.70675453048,1017,743.967139922412,177,2724,1251,563,1814
"33",2019,4,"Delta Air Lines, Inc.",1204.45573770492,1057,667.684662147708,209,2625,1095,677,1772
"34",2019,4,"Frontier Airlines, Inc.",1372.23076923077,1242,651.454674023982,551,2510,822,932,1754
"35",2019,4,"Jetblue Airways Corporation",1395.91139240506,1139,788.431243280839,222,2704,1389.5,864,2253.5
"36",2019,4,"Southwest Airlines",1180.82298136646,1042.5,664.59503194429,148,2704,986.25,662.75,1649
"37",2019,4,"Spirit Airlines, Inc.",1410.64285714286,1415.5,556.759250158776,601,2174,863.75,989,1852.75
"38",2019,4,"United Air Lines, Inc.",1160.29032258065,989,714.013641436779,148,2636,1113.5,573.5,1687
"39",2020,1,"Alaska Airlines, Inc.",1228.21428571429,962,735.254803434854,372,2724,1009.5,728,1737.5
"40",2020,1,"Allegiant Air LLC ",975.75,970.5,254.849851497918,276,1574,312.5,817.25,1129.75
"41",2020,1,"American Airlines, Inc.",1241.0408496732,1082.5,736.965570438037,177,2724,1243.5,601,1844.5
"42",2020,1,"Delta Air Lines, Inc.",1227.23795180723,1052.5,695.581905975758,209,2704,1208.25,656.75,1865
"43",2020,1,"Frontier Airlines, Inc.",1293.92857142857,1115.5,490.127685763259,551,2218,706.75,981.5,1688.25
"44",2020,1,"Jetblue Airways Corporation",1387.1,1139,775.741908665994,222,2704,1356.5,866.5,2223
"45",2020,1,"Southwest Airlines",1145.49222797927,1020,642.059816111741,148,2704,948,644,1592
"46",2020,1,"Spirit Airlines, Inc.",1257.27272727273,1025,567.493275891282,601,2136,838.5,913.5,1752
"47",2020,1,"United Air Lines, Inc.",1159.3962962963,978,700.238574841653,148,2636,1061.75,621,1682.75
"48",2020,2,"Alaska Airlines, Inc.",1456.92452830189,1107,767.125550075801,372,2724,1559,776,2335
"49",2020,2,"Allegiant Air LLC ",995.615384615385,966,285.188351102207,276,1874,331.5,829.5,1161
"50",2020,2,"American Airlines, Inc.",1396.48416289593,1246,709.185590510751,190,2724,1299.5,797.5,2097
"51",2020,2,"Delta Air Lines, Inc.",1163.09090909091,964.5,633.06709428853,235,2608,982.75,626,1608.75
"52",2020,2,"Frontier Airlines, Inc.",988.8,932,322.46271102253,601,1491,130,895,1025
"53",2020,2,"Jetblue Airways Corporation",1282.18367346939,1118,716.180513600604,200,2704,823,836,1659
"54",2020,2,"Southwest Airlines",1197.16588419405,1061,643.891573185455,190,2704,984.5,680,1664.5
"55",2020,2,"Spirit Airlines, Inc.",1021,1006.5,336.95875118477,601,1521,415,790.75,1205.75
"56",2020,2,"Sun Country Airlines",1466.66666666667,1535,167.31507204473,1276,1589,156.5,1405.5,1562
