"","year","quarter","statecode1","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"1",2019,1,"AL",104.346153846154,99,84.3421329147857,1,252,138,26.75,164.75
"2",2019,1,"AR",48.0714285714286,21,58.9020886213388,0,188,71.25,5.75,77
"3",2019,1,"AZ",698.758620689655,443,717.812234460299,1,3116,1033,160,1193
"4",2019,1,"CA",447.209486166008,91,843.502279090158,0,7302,408,22,430
"5",2019,1,"CO",661.926829268293,204,862.593223664663,2,3694,990,27,1017
"6",2019,1,"CT",255.4,178,292.028080841552,1,906,252.5,35,287.5
"7",2019,1,"DC",390.333333333333,528,288.305971726798,59,584,262.5,293.5,556
"8",2019,1,"FL",455.219858156028,218,644.710866448769,0,3760,485,57,542
"9",2019,1,"GA",989.894736842105,727,969.386648921206,8,3864,1477.75,119.25,1597
"10",2019,1,"IA",89.6,48,116.199193764754,1,491,116.5,14.75,131.25
"11",2019,1,"ID",170.6,153,133.757824277892,25,411,117,73,190
"12",2019,1,"IL",599.389312977099,294,804.780243033598,0,5175,665,92,757
"13",2019,1,"IN",266.045454545455,208,245.550591678361,4,722,388.25,61,449.25
"14",2019,1,"KY",126.307692307692,145,102.161134664301,1,260,201,14,215
"15",2019,1,"LA",423.142857142857,420,324.056229010398,1,928,535.75,145.25,681
"16",2019,1,"MA",348.335164835165,62,610.907216666645,0,2864,340,22,362
"17",2019,1,"ME",140.75,161.5,88.3831620464743,24,216,108.75,96.75,205.5
"18",2019,1,"MI",338.022222222222,149,469.956017714274,0,1829,280,27,307
"19",2019,1,"MN",677,406.5,912.045545421432,4,3424,734,141.75,875.75
"20",2019,1,"MO",266.111111111111,156,270.050042845813,3,913,386.5,58,444.5
"21",2019,1,"MT",57.1818181818182,50,52.9279098053535,3,137,84.5,12.5,97
"22",2019,1,"NC",322.9375,146.5,358.711607405216,3,1698,443.75,71.5,515.25
"23",2019,1,"ND",148.833333333333,111.5,151.027701653262,8,361,237.5,22,259.5
"24",2019,1,"NE",165.8,67.5,229.274120262672,30,774,116,39.25,155.25
"25",2019,1,"NJ",236,236,NA,236,236,0,236,236
"26",2019,1,"NM",162.916666666667,119.5,168.684402172317,0,679,129,65.5,194.5
"27",2019,1,"NV",808.233333333333,537.5,887.111884376655,6,3220,1024.75,84.25,1109
"28",2019,1,"NY",280.331838565022,74,604.371147542418,0,4252,211,4,215
"29",2019,1,"OH",198.992647058824,87,233.035349291921,0,1066,274.5,22,296.5
"30",2019,1,"OK",167.25,164,96.5483471289557,67,274,137.25,97,234.25
"31",2019,1,"OR",247.142857142857,88,434.798491914851,1,1585,127,17,144
"32",2019,1,"PA",423.769230769231,110,510.983716936615,27,1529,629,84,713
"33",2019,1,"SC",114.425,71.5,132.807917492588,2,539,150.75,11,161.75
"34",2019,1,"TN",198.214285714286,131,250.400804147611,1,1084,195.75,21.25,217
"35",2019,1,"TX",367.124137931035,219,419.620744615347,0,3048,407,98.75,505.75
"36",2019,1,"UT",528.571428571429,460,245.717220358998,258,877,383.5,334.5,718
"37",2019,1,"VA",119.222222222222,59,118.795809877472,18,332,130,23,153
"38",2019,1,"VT",72.125,55,76.1716810894968,0,189,113,3.75,116.75
"39",2019,1,"WA",523,505,104.696386438756,416,666,82,473,555
"40",2019,1,"WI",146.5,42.5,230.802296349061,1,979,149.75,7.5,157.25
"41",2019,1,"WY",64.5,51,62.0456820952648,5,151,50,32.75,82.75
"42",2019,2,"AL",123.291666666667,113.5,104.399516560045,1,315,153.75,24.25,178
"43",2019,2,"AR",56.0416666666667,25.5,68.2657716554215,0,238,74.25,6.75,81
"44",2019,2,"AZ",728.444444444444,446,706.250246199186,75,3157,952,194,1146
"45",2019,2,"CA",511.9921875,108,961.342619106879,0,8301,481.25,30,511.25
"46",2019,2,"CO",994.379310344828,949,963.398983280147,9,3412,1212,112,1324
"47",2019,2,"CT",269.647058823529,203,288.351118685291,1,986,291,58,349
"48",2019,2,"DC",320.333333333333,423,232.659264447675,54,484,215,238.5,453.5
"49",2019,2,"FL",482.404761904762,232.5,656.179245981723,0,3363,480.75,67.25,548
"50",2019,2,"GA",1182.44736842105,912,1158.1992009352,14,4723,1832.5,159,1991.5
"51",2019,2,"IA",85.75,42.5,103.03818062576,0,340,108,11,119
"52",2019,2,"ID",182.3,167,143.504587615402,20,457,138.25,81,219.25
"53",2019,2,"IL",678.510204081633,327,964.690825391117,0,7168,763,111.5,874.5
"54",2019,2,"IN",302.909090909091,217.5,260.363099772114,6,789,462.25,82.5,544.75
"55",2019,2,"KY",172.714285714286,178,137.805006368491,4,391,240.5,33,273.5
"56",2019,2,"LA",491.071428571429,425,380.481974562571,4,1054,659.5,176.75,836.25
"57",2019,2,"MA",435.777173913043,80.5,758.576081476796,0,3837,477.25,31.75,509
"58",2019,2,"ME",208,249,137.175070621451,55,320,132.5,152,284.5
"59",2019,2,"MI",388.024390243902,155,502.021687171226,1,1862,630,45,675
"60",2019,2,"MN",727.285714285714,633.5,659.847351644702,4,2139,929.5,171.75,1101.25
"61",2019,2,"MO",318.851851851852,173,316.226027209811,1,1116,427,54.5,481.5
