"","year","quarter","lms_carrier_name","mean.passengers","median.passengers","sd.passengers","min.passengers","max.passengers","iqr.passengers","q1.passengers","q3.passengers"
"1",2019,1,"Alaska Airlines, Inc.",847,509,986.792379378763,0,3691,1012,196,1208
"2",2019,1,"Allegiant Air LLC ",139.685185185185,107,106.626631965493,1,568,142,56.25,198.25
"3",2019,1,"American Airlines, Inc.",287.369384359401,82,551.831248355075,0,5175,256,10,266
"4",2019,1,"Delta Air Lines, Inc.",454.81884057971,146.5,797.639282660867,0,7302,558,12.75,570.75
"5",2019,1,"Frontier Airlines, Inc.",377.25,243,285.254312372789,144,1017,361.75,181.75,543.5
"6",2019,1,"Jetblue Airways Corporation",618.720930232558,380.5,673.93339959241,0,2886,677,191,868
"7",2019,1,"Southwest Airlines",331.585557299843,144,468.351888529547,0,3694,400,36,436
"8",2019,1,"Spirit Airlines, Inc.",232.1,124,278.669238425134,40,935,144.5,73.25,217.75
"9",2019,1,"United Air Lines, Inc.",455.576512455516,183,691.425475286337,0,5299,441,82,523
"10",2019,2,"Alaska Airlines, Inc.",1000.73333333333,581,1279.74943215104,2,5880,727,210,937
"11",2019,2,"Allegiant Air LLC ",140.411764705882,105,109.667894384927,1,631,129.5,68,197.5
"12",2019,2,"American Airlines, Inc.",322.193548387097,100,633.189488590664,0,7168,292,11,303
"13",2019,2,"Delta Air Lines, Inc.",494.135048231511,124,871.153992401651,0,8301,656,11.5,667.5
"14",2019,2,"Frontier Airlines, Inc.",416.285714285714,305.5,341.35531422471,50,1186,400.5,174.5,575
"15",2019,2,"Jetblue Airways Corporation",655.012987012987,443,648.187523498094,1,3090,590,228,818
"16",2019,2,"Southwest Airlines",356.915279878971,164,487.436431373167,1,3675,447,45,492
"17",2019,2,"Spirit Airlines, Inc.",337,235.5,275.703397941272,58,972,164,190.5,354.5
"18",2019,2,"Sun Country Airlines",173,173,31.1126983722081,151,195,22,162,184
"19",2019,2,"United Air Lines, Inc.",588.744827586207,248,837.153545790262,0,4845,570.25,110.5,680.75
"20",2019,3,"Alaska Airlines, Inc.",894.692307692308,402,1247.85435516505,1,5583,937.5,36,973.5
"21",2019,3,"Allegiant Air LLC ",133.121951219512,122,89.6571790549846,20,473,107,78,185
"22",2019,3,"American Airlines, Inc.",324.867796610169,93,628.103032014141,0,6742,290.5,10,300.5
"23",2019,3,"Delta Air Lines, Inc.",432.310126582278,103,803.787272670232,0,7857,482.75,11,493.75
"24",2019,3,"Frontier Airlines, Inc.",347.695652173913,228,307.049068447997,1,1085,274,133.5,407.5
"25",2019,3,"Jetblue Airways Corporation",609.716049382716,366,664.253250548462,2,3500,552,233,785
"26",2019,3,"Southwest Airlines",337.882352941176,158,465.073866032476,1,3761,402,46,448
"27",2019,3,"Spirit Airlines, Inc.",400.1875,327,278.748206272256,0,988,341.25,240.25,581.5
"28",2019,3,"Sun Country Airlines",204.5,204.5,19.0918830920368,191,218,13.5,197.75,211.25
"29",2019,3,"United Air Lines, Inc.",566.275618374558,244,826.542389069218,0,5039,502.5,118,620.5
"30",2019,4,"Alaska Airlines, Inc.",898.240740740741,519,1181.0342115599,6,5658,885.25,135.75,1021
"31",2019,4,"Allegiant Air LLC ",135.292682926829,103,82.2013515407256,0,338,116,74,190
"32",2019,4,"American Airlines, Inc.",309.604612850082,81,578.635448296154,0,4810,284.5,9,293.5
"33",2019,4,"Delta Air Lines, Inc.",442.118032786885,149,698.894878942396,0,4645,541,13,554
"34",2019,4,"Frontier Airlines, Inc.",298.769230769231,168,296.826030374178,2,996,384,102,486
"35",2019,4,"Jetblue Airways Corporation",791.822784810127,431,1116.5734644552,1,8103,749.5,240,989.5
"36",2019,4,"Southwest Airlines",361.130434782609,172,484.894019370173,0,3470,429.25,48,477.25
"37",2019,4,"Spirit Airlines, Inc.",342.642857142857,222.5,290.445442286594,46,925,426.75,139.75,566.5
"38",2019,4,"United Air Lines, Inc.",554.573476702509,238,812.633684063022,0,5835,502,110,612
"39",2020,1,"Alaska Airlines, Inc.",590.946428571429,294,754.986488010164,1,3684,539.75,118,657.75
"40",2020,1,"Allegiant Air LLC ",111.833333333333,101,82.7326721160449,9,344,110.25,42,152.25
"41",2020,1,"American Airlines, Inc.",223.908496732026,67.5,421.797231937817,0,3435,199.5,8,207.5
"42",2020,1,"Delta Air Lines, Inc.",316.828313253012,83.5,563.81431671044,0,5496,379.75,9,388.75
"43",2020,1,"Frontier Airlines, Inc.",325.357142857143,219,225.667763671375,32,678,403.75,141.25,545
"44",2020,1,"Jetblue Airways Corporation",546.3875,325,574.98626276931,0,2609,559.5,157.5,717
"45",2020,1,"Southwest Airlines",267.908462867012,115,357.449602391799,1,2753,353,35.5,388.5
"46",2020,1,"Spirit Airlines, Inc.",172.545454545455,95,178.641744078121,45,626,135.5,65,200.5
"47",2020,1,"United Air Lines, Inc.",357.607407407407,148.5,526.213620753127,0,3280,289,75,364
"48",2020,2,"Alaska Airlines, Inc.",95.188679245283,67,132.957780546448,0,814,80,27,107
"49",2020,2,"Allegiant Air LLC ",27.3974358974359,27,15.8845998634058,2,74,16.75,17.25,34
"50",2020,2,"American Airlines, Inc.",41.579185520362,17,70.5103706965909,0,656,36,5,41
"51",2020,2,"Delta Air Lines, Inc.",64.8181818181818,29.5,98.4567807830683,0,585,84,1,85
"52",2020,2,"Frontier Airlines, Inc.",92.6,113,51.4810644800591,1,121,12,108,120
"53",2020,2,"Jetblue Airways Corporation",107.877551020408,58,121.377447220963,0,601,134,31,165
"54",2020,2,"Southwest Airlines",50.3380281690141,28,61.5240476714091,0,579,58,10,68
"55",2020,2,"Spirit Airlines, Inc.",80.5,65,83.8731184587768,7,223,94.75,15,109.75
"56",2020,2,"Sun Country Airlines",331.333333333333,387,158.032697038725,153,454,150.5,270,420.5
