date,year,quarter,cpi
1/1/2019,2019,1,82.24164
4/1/2019,2019,2,82.84588
7/1/2019,2019,3,83.11917
10/1/2019,2019,4,83.70297
1/1/2020,2020,1,83.98837
4/1/2020,2020,2,83.19599
7/1/2020,2020,3,84.14233
10/1/2020,2020,4,84.72915
1/1/2021,2021,1,85.57974
4/1/2021,2021,2,87.18713
7/1/2021,2021,3,88.57218
10/1/2021,2021,4,90.45155
1/1/2022,2022,1,92.44626
4/1/2022,2022,2,94.67942
7/1/2022,2022,3,95.91365
10/1/2022,2022,4,96.86529
1/1/2023,2023,1,97.76176
4/1/2023,2023,2,98.49648
7/1/2023,2023,3,99.32987
10/1/2023,2023,4,100
