year,quarter,city1,statecode1,metropolitan1,city2,statecode2,metropolitan2,airport_code1,airport_code2,average_fare,nsmiles,passengers,large_mkt_share_carrier,lms_carrier_name,mkt_share,lowest_fare_carrier,lf_carrier_name
2019,1,"Louisville, KY",KY,0,"New York City, NY (Metropolitan Area)",NY,1,SDF,EWR,233.69,699,167,UA,"United Air Lines, Inc.",0.8369,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Cleveland, OH (Metropolitan Area)",OH,1,PVD,CAK,195.02,563,6,AA,"American Airlines, Inc.",0.7692,UA,"United Air Lines, Inc."
2019,1,"Houston, TX",TX,0,"San Diego, CA",CA,0,IAH,SAN,242.08,1313,523,UA,"United Air Lines, Inc.",0.7406,NK,"Spirit Airlines, Inc."
2019,1,"Houston, TX",TX,0,"Seattle, WA",WA,0,HOU,SEA,256.26,1894,70,WN,Southwest Airlines,0.8468,WN,Southwest Airlines
2019,1,"Nashville, TN",TN,0,"San Francisco, CA (Metropolitan Area)",CA,1,BNA,OAK,255.25,1969,161,WN,Southwest Airlines,0.9773,WN,Southwest Airlines
2019,1,"Houston, TX",TX,0,"Tulsa, OK",OK,0,IAH,TUL,253.47,453,284,UA,"United Air Lines, Inc.",0.9543,AA,"American Airlines, Inc."
2019,1,"Austin, TX",TX,0,"New York City, NY (Metropolitan Area)",NY,1,AUS,SWF,236.07,1559,4,AA,"American Airlines, Inc.",0.5294,DL,"Delta Air Lines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Reno, NV",NV,0,SWF,RNO,275.5,2443,0,AA,"American Airlines, Inc.",1,AA,"American Airlines, Inc."
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"New York City, NY (Metropolitan Area)",NY,1,LAX,HPN,254.02,2510,31,AA,"American Airlines, Inc.",0.3646,UA,"United Air Lines, Inc."
2019,1,"Milwaukee, WI",WI,0,"New York City, NY (Metropolitan Area)",NY,1,MKE,LGA,199.02,777,519,DL,"Delta Air Lines, Inc.",0.602,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Washington, DC (Metropolitan Area)",DC,1,SNA,IAD,301.17,2329,80,UA,"United Air Lines, Inc.",0.6234,UA,"United Air Lines, Inc."
2019,1,"Charleston, SC",SC,0,"Miami, FL (Metropolitan Area)",FL,1,CHS,FLL,176.12,489,147,B6,Jetblue Airways Corporation,0.6682,B6,Jetblue Airways Corporation
2019,1,"Columbus, OH",OH,0,"Washington, DC (Metropolitan Area)",DC,1,CMH,IAD,192.44,337,113,UA,"United Air Lines, Inc.",0.9852,UA,"United Air Lines, Inc."
2019,1,"Madison, WI",WI,0,"New York City, NY (Metropolitan Area)",NY,1,MSN,LGA,263.49,850,160,DL,"Delta Air Lines, Inc.",0.8849,UA,"United Air Lines, Inc."
2019,1,"Grand Rapids, MI",MI,0,"New York City, NY (Metropolitan Area)",NY,1,GRR,ISP,263.08,656,1,WN,Southwest Airlines,0.6923,AA,"American Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Detroit, MI",MI,0,DFW,DTW,237.58,986,1080,AA,"American Airlines, Inc.",0.5061,AA,"American Airlines, Inc."
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Tampa, FL (Metropolitan Area)",FL,1,ISP,TPA,157.52,1055,343,WN,Southwest Airlines,0.6496,F9,"Frontier Airlines, Inc."
2019,1,"Houston, TX",TX,0,"Jacksonville, FL",FL,0,IAH,JAX,305.74,817,150,UA,"United Air Lines, Inc.",0.8219,AA,"American Airlines, Inc."
2019,1,"Flint, MI",MI,0,"Tampa, FL (Metropolitan Area)",FL,1,FNT,PIE,119.73,1040,199,G4,Allegiant Air LLC ,1,G4,Allegiant Air LLC 
2019,1,"Palm Springs, CA",CA,0,"San Francisco, CA (Metropolitan Area)",CA,1,PSP,SJC,228.84,421,4,AA,"American Airlines, Inc.",0.9429,AA,"American Airlines, Inc."
2019,1,"San Francisco, CA (Metropolitan Area)",CA,1,"Washington, DC (Metropolitan Area)",DC,1,OAK,DCA,274.97,2457,88,WN,Southwest Airlines,0.7161,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Richmond, VA",VA,0,LGB,RIC,246.66,2305,3,B6,Jetblue Airways Corporation,0.625,B6,Jetblue Airways Corporation
2019,1,"Chicago, IL",IL,0,"Denver, CO",CO,0,MDW,DEN,162,895,1102,WN,Southwest Airlines,0.994,WN,Southwest Airlines
2019,1,"Nashville, TN",TN,0,"Tampa, FL (Metropolitan Area)",FL,1,BNA,TPA,179,612,771,WN,Southwest Airlines,0.8681,WN,Southwest Airlines
2019,1,"Chicago, IL",IL,0,"Columbus, OH",OH,0,ORD,CMH,202.09,296,569,AA,"American Airlines, Inc.",0.5967,UA,"United Air Lines, Inc."
2019,1,"Chicago, IL",IL,0,"Norfolk, VA (Metropolitan Area)",VA,1,ORD,ORF,204.81,717,209,UA,"United Air Lines, Inc.",0.5812,UA,"United Air Lines, Inc."
2019,1,"Denver, CO",CO,0,"Los Angeles, CA (Metropolitan Area)",CA,1,DEN,SNA,186.12,862,1328,WN,Southwest Airlines,0.4765,F9,"Frontier Airlines, Inc."
2019,1,"Cleveland, OH (Metropolitan Area)",OH,1,"San Francisco, CA (Metropolitan Area)",CA,1,CAK,SJC,419.5,2187,1,DL,"Delta Air Lines, Inc.",0.4167,AA,"American Airlines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"San Francisco, CA (Metropolitan Area)",CA,1,PVD,SJC,270.17,2704,17,WN,Southwest Airlines,0.4675,WN,Southwest Airlines
2019,1,"Rochester, NY",NY,0,"Washington, DC (Metropolitan Area)",DC,1,ROC,IAD,187.42,296,52,UA,"United Air Lines, Inc.",0.9893,UA,"United Air Lines, Inc."
2019,1,"New Orleans, LA",LA,0,"San Francisco, CA (Metropolitan Area)",CA,1,MSY,SFO,278.87,1911,571,UA,"United Air Lines, Inc.",0.4092,WN,Southwest Airlines
2019,1,"Louisville, KY",KY,0,"Tampa, FL (Metropolitan Area)",FL,1,SDF,PIE,97.73,729,78,G4,Allegiant Air LLC ,1,G4,Allegiant Air LLC 
2019,1,"Austin, TX",TX,0,"Los Angeles, CA (Metropolitan Area)",CA,1,AUS,SNA,195.64,1242,234,WN,Southwest Airlines,0.337,F9,"Frontier Airlines, Inc."
2019,1,"Detroit, MI",MI,0,"Tampa, FL (Metropolitan Area)",FL,1,DTW,TPA,197.61,983,1556,DL,"Delta Air Lines, Inc.",0.6453,NK,"Spirit Airlines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"New York City, NY (Metropolitan Area)",NY,1,MHT,LGA,201.14,209,16,DL,"Delta Air Lines, Inc.",0.8828,AA,"American Airlines, Inc."
2019,1,"Phoenix, AZ",AZ,0,"San Francisco, CA (Metropolitan Area)",CA,1,PHX,SFO,168.62,668,1750,WN,Southwest Airlines,0.3686,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Charleston, SC",SC,0,MHT,CHS,196.49,836,27,WN,Southwest Airlines,0.569,WN,Southwest Airlines
2019,1,"New York City, NY (Metropolitan Area)",NY,1,"Salt Lake City, UT",UT,0,SWF,SLC,258.73,2022,3,DL,"Delta Air Lines, Inc.",0.6957,AA,"American Airlines, Inc."
2019,1,"Miami, FL (Metropolitan Area)",FL,1,"Washington, DC (Metropolitan Area)",DC,1,FLL,IAD,201.93,946,466,UA,"United Air Lines, Inc.",0.672,WN,Southwest Airlines
2019,1,"Rochester, NY",NY,0,"Tampa, FL (Metropolitan Area)",FL,1,ROC,TPA,195.06,1079,302,WN,Southwest Airlines,0.6357,DL,"Delta Air Lines, Inc."
2019,1,"Buffalo, NY",NY,0,"New York City, NY (Metropolitan Area)",NY,1,BUF,EWR,144.59,326,115,UA,"United Air Lines, Inc.",0.971,DL,"Delta Air Lines, Inc."
2019,1,"Greenville/Spartanburg, SC",SC,0,"New York City, NY (Metropolitan Area)",NY,1,GSP,ISP,237.64,643,4,AA,"American Airlines, Inc.",0.9722,AA,"American Airlines, Inc."
2019,1,"Miami, FL (Metropolitan Area)",FL,1,"San Diego, CA",CA,0,MIA,SAN,321.32,2269,306,AA,"American Airlines, Inc.",0.8322,UA,"United Air Lines, Inc."
2019,1,"Buffalo, NY",NY,0,"Phoenix, AZ",AZ,0,BUF,PHX,262.63,1912,230,WN,Southwest Airlines,0.7431,WN,Southwest Airlines
2019,1,"Dallas/Fort Worth, TX",TX,0,"Norfolk, VA (Metropolitan Area)",VA,1,DAL,PHF,261.14,1212,2,DL,"Delta Air Lines, Inc.",1,DL,"Delta Air Lines, Inc."
2019,1,"Grand Rapids, MI",MI,0,"New York City, NY (Metropolitan Area)",NY,1,GRR,HPN,227.41,656,6,DL,"Delta Air Lines, Inc.",0.807,AA,"American Airlines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"San Francisco, CA (Metropolitan Area)",CA,1,PVD,OAK,240.47,2704,17,WN,Southwest Airlines,0.9548,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Seattle, WA",WA,0,LGB,SEA,136.29,978,306,B6,Jetblue Airways Corporation,0.8665,B6,Jetblue Airways Corporation
2019,1,"Myrtle Beach, SC",SC,0,"New York City, NY (Metropolitan Area)",NY,1,MYR,EWR,141.92,601,62,NK,"Spirit Airlines, Inc.",0.4597,NK,"Spirit Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Detroit, MI",MI,0,DAL,DTW,167.45,986,164,WN,Southwest Airlines,0.964,WN,Southwest Airlines
2019,1,"Columbia, SC",SC,0,"Washington, DC (Metropolitan Area)",DC,1,CAE,DCA,227.2,438,165,AA,"American Airlines, Inc.",0.9273,AA,"American Airlines, Inc."
2019,1,"Knoxville, TN",TN,0,"New York City, NY (Metropolitan Area)",NY,1,TYS,HPN,260.52,684,5,AA,"American Airlines, Inc.",0.5581,AA,"American Airlines, Inc."
2019,1,"Dallas/Fort Worth, TX",TX,0,"Tulsa, OK",OK,0,DAL,TUL,149.1,238,158,WN,Southwest Airlines,0.9979,WN,Southwest Airlines
2019,1,"Key West, FL",FL,0,"Washington, DC (Metropolitan Area)",DC,1,EYW,IAD,304.78,1050,18,AA,"American Airlines, Inc.",0.2545,AA,"American Airlines, Inc."
2019,1,"Charlotte, NC",NC,0,"Chicago, IL",IL,0,CLT,MDW,202.21,599,132,WN,Southwest Airlines,0.953,WN,Southwest Airlines
2019,1,"El Paso, TX",TX,0,"New York City, NY (Metropolitan Area)",NY,1,ELP,HPN,284.27,1944,4,DL,"Delta Air Lines, Inc.",0.697,DL,"Delta Air Lines, Inc."
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Reno, NV",NV,0,ONT,RNO,188.01,415,69,WN,Southwest Airlines,0.9161,WN,Southwest Airlines
2019,1,"Cleveland, OH (Metropolitan Area)",OH,1,"Minneapolis/St. Paul, MN",MN,0,CLE,MSP,277.62,657,268,DL,"Delta Air Lines, Inc.",0.8122,WN,Southwest Airlines
2019,1,"San Antonio, TX",TX,0,"Washington, DC (Metropolitan Area)",DC,1,SAT,BWI,255.76,1407,382,WN,Southwest Airlines,0.7701,AA,"American Airlines, Inc."
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Orlando, FL",FL,0,PVD,MCO,166.08,1142,1321,WN,Southwest Airlines,0.5482,F9,"Frontier Airlines, Inc."
2019,1,"Chicago, IL",IL,0,"Philadelphia, PA",PA,0,MDW,PHL,222.18,678,394,WN,Southwest Airlines,0.9848,WN,Southwest Airlines
2019,1,"Columbus, OH",OH,0,"San Francisco, CA (Metropolitan Area)",CA,1,CMH,SFO,294.36,2120,197,UA,"United Air Lines, Inc.",0.2686,WN,Southwest Airlines
2019,1,"Boston, MA (Metropolitan Area)",MA,1,"Minneapolis/St. Paul, MN",MN,0,MHT,MSP,193.33,1124,22,WN,Southwest Airlines,0.399,WN,Southwest Airlines
2019,1,"Los Angeles, CA (Metropolitan Area)",CA,1,"Oklahoma City, OK",OK,0,ONT,OKC,237.01,1187,50,WN,Southwest Airlines,0.6368,WN,Southwest Airlines
2019,1,"Houston, TX",TX,0,"Kansas City, MO",MO,0,HOU,MCI,214.6,666,352,WN,Southwest Airlines,0.9858,WN,Southwest Airlines
