Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,orig.id
2024,1,31057,31703,"Charlotte, NC","New York City, NY (Metropolitan Area)",11057,12478,CLT,JFK,575,272,246.37,AA,0.622,245.58,AA,0.622,245.58,851
2024,1,31453,34057,"Houston, TX","Portland, OR",12191,14057,HOU,PDX,1844,65,248.57,WN,0.7912,246.46,WN,0.7912,246.46,1055
2024,1,33198,30466,"Kansas City, MO","Phoenix, AZ",13198,14107,MCI,PHX,1044,1044,240.08,WN,0.6324,243.16,F9,0.1025,117.64,1739
2024,1,31703,30559,"New York City, NY (Metropolitan Area)","Seattle, WA",11618,14747,EWR,SEA,2422,871,280.76,UA,0.487,305,AS,0.4543,246.06,1132
2024,1,30325,32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",11292,14771,DEN,SFO,967,1731,223.64,UA,0.6134,263.54,F9,0.1063,113.72,203
2024,1,33044,30466,"Louisville, KY","Phoenix, AZ",14730,14107,SDF,PHX,1506,208,311.84,WN,0.6176,287.13,WN,0.6176,287.13,1693
2024,1,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",12892,14831,LAX,SJC,372,1619,141.54,WN,0.5605,128.09,WN,0.5605,128.09,1569
2024,1,32575,34653,"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",13891,15370,ONT,TUL,1283,39,309.45,WN,0.5836,270.53,WN,0.5836,270.53,1691
2024,1,30194,34262,"Dallas/Fort Worth, TX","Palm Springs, CA",11259,14262,DAL,PSP,1137,46,242.51,WN,0.9976,242.47,WN,0.9976,242.47,153
2024,1,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",11057,11042,CLT,CLE,430,260,280.29,AA,0.8832,284.08,WN,0.0283,195.97,840
2024,1,30721,31135,"Boston, MA (Metropolitan Area)","Myrtle Beach, SC",10721,13577,BOS,MYR,756,263,122.85,NK,0.8522,98.66,NK,0.8522,98.66,512
2024,1,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",12191,12953,HOU,LGA,1465,595,174.68,WN,0.985,173.34,WN,0.985,173.34,993
2024,1,34685,30852,"Savannah, GA","Washington, DC (Metropolitan Area)",14685,10821,SAV,BWI,549,213,190.99,WN,0.863,189.62,G4,0.0458,90.87,1884
2024,1,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",10721,10800,BOS,BUR,2611,29,306.2,AA,0.3793,368.25,B6,0.1149,234.99,568
2024,1,30466,30198,"Phoenix, AZ","Pittsburgh, PA",14107,14122,PHX,PIT,1814,435,318.1,WN,0.4777,279.18,WN,0.4777,279.18,296
2024,1,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",11603,14831,EUG,SJC,471,55,183.28,WN,0.9133,176.05,WN,0.9133,176.05,1087
2024,1,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",14908,13204,SNA,MCO,2218,212,337.98,AA,0.3846,356.2,WN,0.2438,251.58,1531
2024,1,30194,31504,"Dallas/Fort Worth, TX","Valparaiso, FL",11298,15624,DFW,VPS,641,158,269.75,AA,0.9701,268.05,AA,0.9701,268.05,72
2024,1,30721,30325,"Boston, MA (Metropolitan Area)","Denver, CO",10721,11292,BOS,DEN,1754,1665,256.61,UA,0.4266,296.08,B6,0.1604,191.82,464
2024,1,31834,31703,"Fayetteville, AR","New York City, NY (Metropolitan Area)",15919,11618,XNA,EWR,1159,41,345.16,AA,0.5119,293.37,AA,0.5119,293.37,1290
2024,1,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",13891,12391,ONT,ISP,2510,0,450,WN,1,450,WN,1,450,1551
2024,1,30994,30194,"Charleston, SC","Dallas/Fort Worth, TX",10994,11259,CHS,DAL,987,63,236.71,WN,0.9161,229.96,WN,0.9161,229.96,810
2024,1,30849,31703,"Bozeman, MT","New York City, NY (Metropolitan Area)",10849,12953,BZN,LGA,1902,67,370.7,DL,0.348,418.36,AA,0.3056,295.61,664
2024,1,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",10721,14100,BOS,PHL,289,1204,194.3,AA,0.5102,215.97,B6,0.2508,167.23,616
2024,1,32441,31703,"Jackson, WY","New York City, NY (Metropolitan Area)",12441,12197,JAC,HPN,1894,3,603.56,AA,0.9583,582.91,AA,0.9583,582.91,1372
2024,1,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11298,15376,DFW,TUS,824,265,312.99,AA,0.9689,312.33,AA,0.9689,312.33,40
2024,1,31123,30852,"St. Louis, MO","Washington, DC (Metropolitan Area)",15016,10821,STL,BWI,738,275,243.39,WN,0.9319,239.87,WN,0.9319,239.87,898
2024,1,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",11066,12391,CMH,ISP,519,7,243.48,WN,1,243.48,WN,1,243.48,878
2024,1,32575,34570,"Los Angeles, CA (Metropolitan Area)","Reno, NV",14908,14570,SNA,RNO,415,51,210.46,WN,0.7527,216.67,NK,0.1269,99.76,1682
2024,1,31624,31703,"Key West, FL","New York City, NY (Metropolitan Area)",11624,12953,EYW,LGA,1229,140,338.67,AA,0.5717,321.4,AA,0.5717,321.4,1099
2024,1,30792,30852,"Buffalo, NY","Washington, DC (Metropolitan Area)",10792,11278,BUF,DCA,296,110,197.15,AA,0.9521,196.16,AA,0.9521,196.16,642
2024,1,30792,30466,"Buffalo, NY","Phoenix, AZ",10792,14107,BUF,PHX,1912,199,273.03,WN,0.4031,291.81,AA,0.3584,229.81,640
2024,1,31295,33195,"Detroit, MI","Tampa, FL (Metropolitan Area)",11433,15304,DTW,TPA,983,1826,213.65,DL,0.5608,276.49,NK,0.2704,116.96,956
2024,1,30194,34027,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",11259,14027,DAL,PBI,1102,17,247.58,WN,0.6792,204.63,WN,0.6792,204.63,147
2024,1,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",13930,13303,ORD,MIA,1197,2048,253.05,AA,0.4915,282.46,NK,0.1553,130.5,752
2024,1,33105,33195,"Cincinnati, OH","Tampa, FL (Metropolitan Area)",11193,14112,CVG,PIE,776,174,105.51,G4,1,105.51,G4,1,105.51,1730
